sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
頭份,苗栗縣,45,,良好,1.6,0.11,49,32,17,13,1,3.4,1.5,5.4,337,"2025/09/15 14:00:00",0.2,11.2,20,1,120.89869286,24.69690679,25
苗栗,苗栗縣,36,,良好,2.5,0.11,52,37,12,,3,4.8,1.4,3.2,5,"2025/09/15 14:00:00",0.1,9,14,1,120.82011468,24.56499183,26
三義,苗栗縣,56,細懸浮微粒,普通,1.2,0.14,51,44,11,10,3,4.9,1.3,3.7,14,"2025/09/15 14:00:00",0.2,14.3,18,1,120.75956754,24.38248443,27
豐原,臺中市,50,,良好,1.5,0.16,52,40,21,11,6,8.1,1.3,2.3,339,"2025/09/15 14:00:00",0.2,12.4,21,0,120.74252414,24.25699731,28
沙鹿,臺中市,51,細懸浮微粒,普通,0.2,0.11,46,39,17,7,2,3.2,0.5,4.9,321,"2025/09/15 14:00:00",0.1,12.5,20,0,120.568794,24.225628,29
大里,臺中市,66,細懸浮微粒,普通,1.1,0.18,63,45,26,13,5,6.6,1.1,3,56,"2025/09/15 14:00:00",0.2,17.8,25,1,120.67844444,24.09961111,30
忠明,臺中市,57,細懸浮微粒,普通,0.7,0.17,48,37,21,13,5,6.9,1.9,3.4,318,"2025/09/15 14:00:00",0.2,14.6,22,1,120.641092,24.151958,31
西屯,臺中市,55,細懸浮微粒,普通,0.9,0.12,47,39,20,10,4,5.5,0.9,4,358,"2025/09/15 14:00:00",0.2,14.1,29,1,120.616917,24.162197,32
彰化,彰化縣,47,,良好,0.8,0.16,55,39,23,14,5,7.4,1.6,4.1,12,"2025/09/15 14:00:00",0.2,11.7,24,0,120.541519,24.066,33
線西,彰化縣,38,,良好,0.7,0.11,51,34,15,6,1,3.1,1.2,5.2,342,"2025/09/15 14:00:00",0.2,8.2,23,0,120.469061,24.131672,34
二林,彰化縣,47,,良好,2.1,0.18,55,34,24,9,2,2.8,0.3,3.3,4,"2025/09/15 14:00:00",0.2,11.7,28,1,120.409653,23.925175,35
南投,南投縣,63,細懸浮微粒,普通,1.1,0.22,84,48,34,25,6,7.2,0.5,1.9,2,"2025/09/15 14:00:00",0.2,17,28,0,120.685306,23.913,36
斗六,雲林縣,64,細懸浮微粒,普通,1.4,0.22,83,47,36,19,3,4.6,0.6,3.1,330,"2025/09/15 14:00:00",0.1,17.1,31,1,120.544994,23.711853,37
崙背,雲林縣,51,細懸浮微粒,普通,1.2,0.14,54,34,30,13,2,3.1,0.6,2.2,293,"2025/09/15 14:00:00",0.1,12.5,27,1,120.348742,23.757547,38
新港,嘉義縣,59,細懸浮微粒,普通,2.2,0.14,61,37,25,15,3,4.1,0.9,3.1,338,"2025/09/15 14:00:00",0.2,15.3,26,3,120.345531,23.554839,39
朴子,嘉義縣,56,細懸浮微粒,普通,1.4,0.09,53,34,39,13,1,2.4,0.8,2,350,"2025/09/15 14:00:00",0.1,14.5,29,1,120.2478,23.46538,40
臺西,雲林縣,35,,良好,1.9,0.15,54,32,23,7,2,4.6,1.6,4.7,19,"2025/09/15 14:00:00",0.1,6.8,21,0,120.19933333,23.702175,41
